transport,tcpType,group,rate,delay,loss,deadline,frameSize,queue,total,onTime,late,incomplete,ratio,ul_avg,ul_p99,ul_max
tcp,bbr,rsweep,60Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
udp,none,rsweep,70Mbps,10ms,0,80,90000,100p,273,273,0,0,1,10,10,10
quic,none,rsweep,70Mbps,10ms,0,80,90000,100p,275,274,0,1,0.996364,10,10,10
tcp,cubic,rsweep,70Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
tcp,bbr,rsweep,70Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
udp,none,rsweep,80Mbps,10ms,0,80,90000,100p,273,273,0,0,1,10,10,10
quic,none,rsweep,80Mbps,10ms,0,80,90000,100p,275,274,0,1,0.996364,10,10,10
tcp,cubic,rsweep,80Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
tcp,bbr,rsweep,80Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
udp,none,rsweep,100Mbps,10ms,0,80,90000,100p,273,273,0,0,1,10,10,10
quic,none,rsweep,100Mbps,10ms,0,80,90000,100p,275,274,0,1,0.996364,10,10,10
tcp,cubic,rsweep,100Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
tcp,bbr,rsweep,100Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
udp,none,rsweep,120Mbps,10ms,0,80,90000,100p,273,273,0,0,1,10,10,10
quic,none,rsweep,120Mbps,10ms,0,80,90000,100p,275,274,0,1,0.996364,10,10,10
tcp,cubic,rsweep,120Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
tcp,bbr,rsweep,120Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
udp,none,fsweep,120Mbps,10ms,0,80,90000,100p,273,273,0,0,1,10,10,10
quic,none,fsweep,120Mbps,10ms,0,80,90000,100p,275,274,0,1,0.996364,10,10,10
tcp,cubic,fsweep,120Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
tcp,bbr,fsweep,120Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
udp,none,fsweep,120Mbps,10ms,0,80,120000,100p,273,273,0,0,1,10,10,10
quic,none,fsweep,120Mbps,10ms,0,80,120000,100p,275,274,0,1,0.996364,10,10,10
tcp,cubic,fsweep,120Mbps,10ms,0,80,120000,100p,576,571,1,4,0.991319,10,10,10
tcp,bbr,fsweep,120Mbps,10ms,0,80,120000,100p,576,571,1,4,0.991319,10,10,10
udp,none,fsweep,120Mbps,10ms,0,80,150000,100p,273,273,0,0,1,10,10,10
quic,none,fsweep,120Mbps,10ms,0,80,150000,100p,275,274,0,1,0.996364,10,10,10
tcp,cubic,fsweep,120Mbps,10ms,0,80,150000,100p,575,0,0,272,0,10,10,10
tcp,bbr,fsweep,120Mbps,10ms,0,80,150000,100p,575,0,0,272,0,10,10,10
udp,none,fsweep,120Mbps,10ms,0,80,180000,100p,273,273,0,0,1,10,10,10
quic,none,fsweep,120Mbps,10ms,0,80,180000,100p,275,274,0,1,0.996364,10,10,10
tcp,cubic,fsweep,120Mbps,10ms,0,80,180000,100p,575,0,0,272,0,10,10,10
tcp,bbr,fsweep,120Mbps,10ms,0,80,180000,100p,575,0,0,272,0,10,10,10
udp,none,fsweep,120Mbps,10ms,0,80,220000,100p,273,272,0,1,0.996337,10,10,10
quic,none,fsweep,120Mbps,10ms,0,80,220000,100p,246,245,0,1,0.995935,10,10,10
tcp,cubic,fsweep,120Mbps,10ms,0,80,220000,100p,575,0,0,272,0,10,10,10
tcp,bbr,fsweep,120Mbps,10ms,0,80,220000,100p,575,0,0,272,0,10,10,10
udp,none,fsweep,120Mbps,10ms,0,80,250000,100p,273,272,0,1,0.996337,10,10,10
quic,none,fsweep,120Mbps,10ms,0,80,250000,100p,217,216,0,1,0.995392,10,10,10
tcp,cubic,fsweep,120Mbps,10ms,0,80,250000,100p,575,0,0,272,0,10,10,10
tcp,bbr,fsweep,120Mbps,10ms,0,80,250000,100p,575,0,0,272,0,10,10,10
udp,none,qsweep,120Mbps,10ms,0,80,90000,50p,273,273,0,0,1,10,10,10
quic,none,qsweep,120Mbps,10ms,0,80,90000,50p,275,274,0,1,0.996364,10,10,10
tcp,cubic,qsweep,120Mbps,10ms,0,80,90000,50p,576,572,1,3,0.993056,10,10,10
tcp,bbr,qsweep,120Mbps,10ms,0,80,90000,50p,576,572,1,3,0.993056,10,10,10
udp,none,qsweep,120Mbps,10ms,0,80,90000,100p,273,273,0,0,1,10,10,10
quic,none,qsweep,120Mbps,10ms,0,80,90000,100p,275,274,0,1,0.996364,10,10,10
tcp,cubic,qsweep,120Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
tcp,bbr,qsweep,120Mbps,10ms,0,80,90000,100p,576,572,1,3,0.993056,10,10,10
udp,none,qsweep,120Mbps,10ms,0,80,90000,300p,273,273,0,0,1,10,10,10
quic,none,qsweep,120Mbps,10ms,0,80,90000,300p,275,274,0,1,0.996364,10,10,10
tcp,cubic,qsweep,120Mbps,10ms,0,80,90000,300p,576,572,1,3,0.993056,10,10,10
tcp,bbr,qsweep,120Mbps,10ms,0,80,90000,300p,576,572,1,3,0.993056,10,10,10
