transport,tcpType,group,rate,delay,loss,deadline,frameSize,total,onTime,late,incomplete,ratio
tcp,bbr,rsweep,120Mbps,10ms,0,80,90000,576,0,1,272,0
udp,none,fsweep,120Mbps,10ms,0,80,90000,273,273,0,0,1
quic,none,fsweep,120Mbps,10ms,0,80,90000,189,188,0,1,0.994709
tcp,cubic,fsweep,120Mbps,10ms,0,80,90000,576,0,1,272,0
tcp,bbr,fsweep,120Mbps,10ms,0,80,90000,576,0,1,272,0
udp,none,fsweep,120Mbps,10ms,0,80,120000,273,273,0,0,1
quic,none,fsweep,120Mbps,10ms,0,80,120000,171,170,0,1,0.994152
tcp,cubic,fsweep,120Mbps,10ms,0,80,120000,1148,0,1,541,0
tcp,bbr,fsweep,120Mbps,10ms,0,80,120000,1148,0,1,541,0
udp,none,fsweep,120Mbps,10ms,0,80,150000,273,273,0,0,1
quic,none,fsweep,120Mbps,10ms,0,80,150000,156,156,0,0,1
tcp,cubic,fsweep,120Mbps,10ms,0,80,150000,1148,0,1,541,0
tcp,bbr,fsweep,120Mbps,10ms,0,80,150000,1148,0,1,541,0
udp,none,fsweep,120Mbps,10ms,0,80,180000,273,273,0,0,1
quic,none,fsweep,120Mbps,10ms,0,80,180000,144,143,0,1,0.993056
tcp,cubic,fsweep,120Mbps,10ms,0,80,180000,1148,0,1,541,0
tcp,bbr,fsweep,120Mbps,10ms,0,80,180000,1148,0,1,541,0
udp,none,fsweep,120Mbps,10ms,0,80,220000,273,272,0,1,0.996337
quic,none,fsweep,120Mbps,10ms,0,80,220000,130,129,0,1,0.992308
tcp,cubic,fsweep,120Mbps,10ms,0,80,220000,1148,0,1,541,0
tcp,bbr,fsweep,120Mbps,10ms,0,80,220000,1148,0,1,541,0
udp,none,fsweep,120Mbps,10ms,0,80,250000,273,272,0,1,0.996337
quic,none,fsweep,120Mbps,10ms,0,80,250000,121,120,0,1,0.991736
tcp,cubic,fsweep,120Mbps,10ms,0,80,250000,1148,0,1,541,0
tcp,bbr,fsweep,120Mbps,10ms,0,80,250000,1148,0,1,541,0
